class_ids,detic_classes,remapped_classes
128,booklet,office_stationary
129,bookmark,office_stationary
130,boom_microphone,electronics
131,boot,footwear
132,bottle,drinkware
133,bottle_opener,kitchen_utensils
134,bouquet,plant
135,bow_(weapon),other
136,bow_(decorative_ribbons),furnishing
137,bow-tie,clothing_accessory
138,bowl,tableware
139,pipe_bowl,tableware
140,bowler_hat,hat
141,bowling_ball,sports_equipment
142,box,home_appliance_tool
143,boxing_glove,sports_equipment
144,suspenders,clothing_accessory
145,bracelet,clothing_accessory
146,brass_plaque,other
147,brassiere,clothing
148,bread-bin,kitchen_appliance
149,bread,food
150,breechcloth,clothing
151,bridal_gown,clothing
152,briefcase,office_stationary
153,broccoli,food
154,broach,clothing_accessory
155,broom,cleaning_product
156,brownie,food
157,brussels_sprouts,food
158,bubble_gum,food
159,bucket,cleaning_product
160,horse_buggy,other
161,horned_cow,animal
162,bulldog,animal
163,bulldozer,home_appliance_tool
164,bullet_train,other
165,bulletin_board,office_stationary
166,bulletproof_vest,clothing_accessory
167,bullhorn,sports_equipment
168,bun,food
169,bunk_bed,furniture
170,buoy,other
171,burrito,food
172,bus_(vehicle),other
173,business_card,office_stationary
174,butter,food
175,butterfly,animal
176,button,clothing_accessory
177,cab_(taxi),other
178,cabana,house_fixtures
179,cabin_car,other
180,cabinet,cabinetry
181,locker,cabinetry
182,cake,food
183,calculator,office_stationary
184,calendar,office_stationary
185,calf,animal
186,camcorder,electronics
187,camel,animal
188,camera,electronics
189,camera_lens,electronics
190,camper_(vehicle),other
191,can,drinkware
192,can_opener,kitchen_utensils
193,candle,furnishing
194,candle_holder,furnishing
195,candy_bar,food
196,candy_cane,food
197,walking_cane,wheelchair_walker
198,canister,drinkware
199,canoe,sports_equipment
200,cantaloup,food
201,canteen,drinkware
202,cap_(headwear),hat
203,bottle_cap,drinkware
204,cape,clothing_accessory
205,cappuccino,food
206,car_(automobile),other
207,railcar_(part_of_a_train),other
208,elevator_car,other
209,car_battery,home_appliance_tool
210,identity_card,office_stationary
211,card,office_stationary
212,cardigan,clothing
213,cargo_ship,other
214,carnation,plant
215,horse_carriage,other
216,carrot,food
217,tote_bag,bag
218,cart,other
219,carton,drinkware
220,cash_register,other
221,casserole,food
222,cassette,electronics
223,cast,other
224,cat,animal
225,cauliflower,food
226,cayenne_(spice),food
227,CD_player,electronics
228,celery,food
229,cellular_telephone,phone_tablet
230,chain_mail,clothing
231,chair,furniture
232,chaise_longue,furniture
233,chalice,drinkware
234,chandelier,furnishing
235,chap,other
236,checkbook,office_stationary
237,checkerboard,sports_equipment
238,cherry,food
239,chessboard,furnishing
240,chicken_(animal),animal
241,chickpea,food
242,chili_(vegetable),food
243,chime,other
244,chinaware,tableware
245,crisp_(potato_chip),food
246,poker_chip,other
247,chocolate_bar,food
248,chocolate_cake,food
249,chocolate_milk,food
250,chocolate_mousse,food
251,choker,clothing_accessory
252,chopping_board,kitchen_utensils
253,chopstick,tableware
254,Christmas_tree,furnishing
255,slide,other
256,cider,food
257,cigar_box,other
258,cigarette,other
259,cigarette_case,other
260,cistern,drinkware
261,clarinet,musical_instrument
262,clasp,home_appliance_tool
263,cleansing_agent,cleaning_product
264,cleat_(for_securing_rope),home_appliance_tool
265,clementine,food
266,clip,home_appliance_tool
267,clipboard,office_stationary
268,clippers_(for_plants),home_appliance_tool
269,cloak,clothing
270,clock,furnishing
271,clock_tower,other
272,clothes_hamper,furnishing
273,clothespin,clothing_accessory
274,clutch_bag,bag
275,coaster,tableware
276,coat,clothing
277,coat_hanger,clothing_accessory
278,coatrack,furniture
279,cock,animal
280,cockroach,animal
281,cocoa_(beverage),food
282,coconut,food
283,coffee_maker,kitchen_appliance
284,coffee_table,furniture
285,coffeepot,kitchen_appliance
286,coil,home_appliance_tool
287,coin,other
288,colander,kitchen_utensils
289,coleslaw,food
290,coloring_material,office_stationary
291,combination_lock,home_appliance_tool
292,pacifier,drinkware
293,comic_book,office_stationary
294,compass,other
295,computer_keyboard,electronics
296,condiment,food
297,cone,other
298,control,other
299,convertible_(automobile),other
300,sofa_bed,furniture
301,cooker,kitchen_appliance
302,cookie,food
303,cooking_utensil,kitchen_utensils
304,cooler_(for_food),kitchen_appliance
305,cork_(bottle_plug),drinkware
306,corkboard,office_stationary
307,corkscrew,kitchen_utensils
308,edible_corn,food
309,cornbread,food
310,cornet,musical_instrument
311,cornice,other
312,cornmeal,food
313,corset,clothing
314,costume,clothing
315,cougar,animal
316,coverall,clothing
317,cowbell,other
318,cowboy_hat,hat
319,crab_(animal),animal
320,crabmeat,food
321,cracker,food
322,crape,food
323,crate,furniture
324,crayon,office_stationary
325,cream_pitcher,tableware
326,crescent_roll,food
327,crib,furniture
328,crock_pot,kitchen_appliance
329,crossbar,home_appliance_tool
330,crouton,food
331,crow,animal
332,crowbar,home_appliance_tool
333,crown,hat
334,crucifix,furnishing
335,cruise_ship,other
336,police_cruiser,other
337,crumb,food
338,crutch,wheelchair_walker
339,cub_(animal),animal
340,cube,other
341,cucumber,food
342,cufflink,clothing_accessory
343,cup,drinkware
344,trophy_cup,other
345,cupboard,cabinetry
346,cupcake,food
347,hair_curler,toiletries
348,curling_iron,toiletries
349,curtain,furnishing
350,cushion,furnishing
351,cylinder,other
352,cymbal,musical_instrument
353,dagger,other
354,dalmatian,animal
355,dartboard,sports_equipment
356,date_(fruit),food
357,deck_chair,furniture
358,deer,animal
359,dental_floss,toiletries
360,desk,furniture
361,detergent,cleaning_product
362,diaper,toiletries
363,diary,office_stationary
364,die,other
365,dinghy,other
366,dining_table,furniture
367,tux,clothing
368,dish,tableware
369,dish_antenna,electronics
370,dishrag,cleaning_product
371,dishtowel,cleaning_product
372,dishwasher,kitchen_appliance
373,dishwasher_detergent,cleaning_product
374,dispenser,home_appliance_tool
375,diving_board,sports_equipment
376,Dixie_cup,drinkware
377,dog,animal
378,dog_collar,other
379,doll,other
380,dollar,other
381,dollhouse,other
382,dolphin,animal
383,domestic_ass,animal
384,doorknob,furniture
385,doormat,furnishing
386,doughnut,food
387,dove,animal
388,dragonfly,animal
389,drawer,cabinetry
390,underdrawers,cabinetry
391,dress,clothing
392,dress_hat,hat
393,dress_suit,clothing
394,dresser,furniture
395,drill,home_appliance_tool
396,drone,electronics
397,dropper,kitchen_utensils
398,drum_(musical_instrument),musical_instrument
399,drumstick,musical_instrument
400,duck,animal
401,duckling,animal
402,duct_tape,home_appliance_tool
403,duffel_bag,bag
404,dumbbell,sports_equipment
405,dumpster,cleaning_product
406,dustpan,cleaning_product
407,eagle,animal
408,earphone,electronics
409,earplug,electronics
410,earring,clothing_accessory
411,easel,office_stationary
412,eclair,food
413,eel,animal
414,egg,food
415,egg_roll,food
416,egg_yolk,food
417,eggbeater,kitchen_utensils
418,eggplant,food
419,electric_chair,furniture
420,refrigerator,kitchen_appliance
421,elephant,animal
422,elk,animal
423,envelope,office_stationary
424,eraser,office_stationary
425,escargot,food
426,eyepatch,clothing_accessory
427,falcon,animal
428,fan,house_fixtures
429,faucet,bathroom_fixture
430,fedora,hat
431,ferret,animal
432,Ferris_wheel,other
433,ferry,other
434,fig_(fruit),food
435,fighter_jet,other
436,figurine,other
437,file_cabinet,furniture
438,file_(tool),home_appliance_tool
439,fire_alarm,house_fixtures
440,fire_engine,other
441,fire_extinguisher,home_appliance_tool
442,fire_hose,home_appliance_tool
443,fireplace,house_fixtures
444,fireplug,other
445,first-aid_kit,home_appliance_tool
446,fish,animal
447,fish_(food),food
448,fishbowl,other
449,fishing_rod,sports_equipment
450,flag,other
451,flagpole,other
452,flamingo,animal
453,flannel,clothing
454,flap,other
455,flash,home_appliance_tool
456,flashlight,home_appliance_tool
457,fleece,clothing
458,flip-flop_(sandal),footwear
459,flipper_(footwear),footwear
460,flower_arrangement,plant
461,flute_glass,musical_instrument
462,foal,animal
463,folding_chair,furniture
464,food_processor,kitchen_appliance
465,football_(American),sports_equipment
466,football_helmet,sports_equipment
467,footstool,furniture
468,fork,tableware
469,forklift,other
470,freight_car,other
471,French_toast,food
472,freshener,cleaning_product
473,frisbee,sports_equipment
474,frog,animal
475,fruit_juice,food
476,frying_pan,kitchen_utensils
477,fudge,food
478,funnel,home_appliance_tool
479,futon,furniture
480,gag,clothing_accessory
481,garbage,cleaning_product
482,garbage_truck,other
483,garden_hose,home_appliance_tool
484,gargle,other
485,gargoyle,animal
486,garlic,food
487,gasmask,home_appliance_tool
488,gazelle,animal
489,gelatin,food
490,gemstone,other
491,generator,house_fixtures
492,giant_panda,animal
493,gift_wrap,office_stationary
494,ginger,food
495,giraffe,animal
496,cincture,clothing_accessory
497,glass_(drink_container),drinkware
498,globe,office_stationary
499,glove,clothing_accessory
500,goat,animal
501,goggles,clothing_accessory
502,goldfish,animal
503,golf_club,sports_equipment
504,golfcart,sports_equipment
505,gondola_(boat),other
506,goose,animal
507,gorilla,animal
508,gourd,drinkware
509,grape,animal
510,grater,kitchen_utensils
511,gravestone,other
512,gravy_boat,other
513,green_bean,food
514,green_onion,food
515,griddle,kitchen_utensils
516,grill,kitchen_appliance
517,grits,food
518,grizzly,animal
519,grocery_bag,bag
520,guitar,musical_instrument
521,gull,animal
522,gun,other
523,hairbrush,toiletries
524,hairnet,toiletries
525,hairpin,toiletries
526,halter_top,clothing
527,ham,food
528,hamburger,food
529,hammer,home_appliance_tool
530,hammock,furniture
531,hamper,furniture
532,hamster,animal
533,hair_dryer,toiletries
534,hand_glass,drinkware
535,hand_towel,cleaning_product
536,handcart,home_appliance_tool
537,handcuff,home_appliance_tool
538,handkerchief,clothing_accessory
539,handle,house_fixtures
540,handsaw,home_appliance_tool
541,hardback_book,office_stationary
542,harmonium,musical_instrument
543,hat,hat
544,hatbox,other
545,veil,hat
546,headband,hat
547,headboard,furniture
548,headlight,house_fixtures
549,headscarf,clothing_accessory
550,headset,electronics
551,headstall_(for_horses),other
552,heart,other
553,heater,electronics
554,helicopter,other
555,helmet,hat
556,heron,animal
557,highchair,furniture
558,hinge,house_fixtures
559,hippopotamus,animal
560,hockey_stick,sports_equipment
561,hog,animal
562,home_plate_(baseball),sports_equipment
563,honey,food
564,fume_hood,home_appliance_tool
565,hook,home_appliance_tool
566,hookah,furnishing
567,hornet,animal
568,horse,animal
569,hose,home_appliance_tool
570,hot-air_balloon,other
571,hotplate,kitchen_appliance
572,hot_sauce,food
573,hourglass,office_stationary
574,houseboat,other
575,hummingbird,animal
576,hummus,food
577,polar_bear,animal
578,icecream,food
579,popsicle,food
580,ice_maker,kitchen_appliance
581,ice_pack,home_appliance_tool
582,ice_skate,sports_equipment
583,igniter,home_appliance_tool
584,inhaler,other
585,iPod,electronics
586,iron_(for_clothing),home_appliance_tool
587,ironing_board,home_appliance_tool
588,jacket,clothing
589,jam,food
590,jar,tableware
591,jean,clothing
592,jeep,other
593,jelly_bean,food
594,jersey,clothing
595,jet_plane,other
596,jewel,other
597,jewelry,other
598,joystick,other
599,jumpsuit,clothing
600,kayak,sports_equipment
601,keg,drinkware
602,kennel,other
603,kettle,kitchen_appliance
604,key,other
605,keycard,other
606,kilt,clothing
607,kimono,clothing
608,kitchen_sink,sink
609,kitchen_table,furniture
610,kite,other
611,kitten,animal
612,kiwi_fruit,food
613,knee_pad,sports_equipment
614,knife,kitchen_utensils
615,knitting_needle,other
616,knob,house_fixtures
617,knocker_(on_a_door),house_fixtures
618,koala,animal
619,lab_coat,clothing
620,ladder,home_appliance_tool
621,ladle,kitchen_utensils
622,ladybug,animal
623,lamb_(animal),animal
624,lamb-chop,food
625,lamp,furnishing
626,lamppost,other
627,lampshade,furnishing
628,lantern,furnishing
629,lanyard,office_stationary
630,laptop_computer,tv_computer
631,lasagna,food
632,latch,house_fixtures
633,lawn_mower,home_appliance_tool
634,leather,clothing_accessory
635,legging_(clothing),clothing
636,Lego,other
637,legume,food
638,lemon,food
639,lemonade,food
640,lettuce,food
641,license_plate,other
642,life_buoy,sports_equipment
643,life_jacket,sports_equipment
644,lightbulb,house_fixtures
645,lightning_rod,other
646,lime,food
647,limousine,other
648,lion,animal
649,lip_balm,toiletries
650,liquor,food
651,lizard,animal
652,log,other
653,lollipop,food
654,speaker_(stero_equipment),electronics
655,loveseat,furniture
656,machine_gun,other
657,magazine,office_stationary
658,magnet,other
659,mail_slot,other
660,mailbox_(at_home),other
661,mallard,animal
662,mallet,home_appliance_tool
663,mammoth,animal
664,manatee,animal
665,mandarin_orange,food
666,manger,other
667,manhole,other
668,map,office_stationary
669,marker,office_stationary
670,martini,food
671,mascot,other
672,mashed_potato,food
673,masher,kitchen_utensils
674,mask,clothing_accessory
675,mast,other
676,mat_(gym_equipment),sports_equipment
677,matchbox,home_appliance_tool
678,mattress,furniture
679,measuring_cup,kitchen_utensils
680,measuring_stick,home_appliance_tool
681,meatball,food
682,medicine,food
683,melon,food
684,microphone,electronics
685,microscope,electronics
686,microwave_oven,kitchen_appliance
687,milestone,other
688,milk,food
689,milk_can,kitchen_utensils
690,milkshake,food
691,minivan,other
692,mint_candy,food
693,mirror,house_fixtures
694,mitten,kitchen_utensils
695,mixer_(kitchen_tool),kitchen_appliance
696,money,other
697,monitor_(computer_equipment) computer_monitor,tv_computer
698,monkey,animal
699,motor,electronics
700,motor_scooter,other
701,motor_vehicle,other
702,motorcycle,other
703,mound_(baseball),sports_equipment
704,mouse_(computer_equipment),electronics
705,mousepad,office_stationary
706,muffin,food
707,mug,drinkware
708,mushroom,food
709,music_stool,musical_instrument
710,musical_instrument,musical_instrument
711,nailfile,toiletries
712,napkin,cleaning_product
713,neckerchief,clothing_accessory
714,necklace,clothing_accessory
715,necktie,clothing_accessory
716,needle,other
717,nest,other
718,newspaper,office_stationary
719,newsstand,furniture
720,nightshirt,clothing
721,nosebag_(for_animals),other
722,noseband_(for_animals),other
723,notebook,office_stationary
724,notepad,office_stationary
725,nut,food
726,nutcracker,kitchen_utensils
727,oar,sports_equipment
728,octopus_(food),food
729,octopus_(animal),animal
730,oil_lamp,furnishing
731,olive_oil,food
732,omelet,food
733,onion,food
734,orange_(fruit),food
735,orange_juice,food
736,ostrich,animal
737,ottoman,furniture
738,oven,kitchen_appliance
739,overalls_(clothing),clothing
740,owl,animal
741,packet,office_stationary
742,inkpad,office_stationary
743,pad,office_stationary
744,paddle,sports_equipment
745,padlock,home_appliance_tool
746,paintbrush,office_stationary
747,painting,furnishing
748,pajamas,clothing
749,palette,other
750,pan_(for_cooking),kitchen_utensils
751,pan_(metal_container),kitchen_utensils
752,pancake,food
753,pantyhose,clothing
754,papaya,food
755,paper_plate,tableware
756,paper_towel,cleaning_product
757,paperback_book,office_stationary
758,paperweight,office_stationary
759,parachute,sports_equipment
760,parakeet,animal
761,parasail_(sports),sports_equipment
762,parasol,furniture
763,parchment,office_stationary
764,parka,clothing
765,parking_meter,other
766,parrot,animal
767,passenger_car_(part_of_a_train),other
768,passenger_ship,other
769,passport,office_stationary
770,pastry,food
771,patty_(food),food
772,pea_(food),food
773,peach,food
774,peanut_butter,food
775,pear,food
776,peeler_(tool_for_fruit_and_vegetables),kitchen_utensils
777,wooden_leg,wheelchair_walker
778,pegboard,house_fixtures
779,pelican,animal
780,pen,office_stationary
781,pencil,office_stationary
782,pencil_box,office_stationary
783,pencil_sharpener,office_stationary
784,pendulum,other
785,penguin,animal
786,pennant,clothing_accessory
787,penny_(coin),other
788,pepper,food
789,pepper_mill,food
790,perfume,toiletries
791,persimmon,food
792,person,animal
793,pet,animal
794,pew_(church_bench),furniture
795,phonebook,office_stationary
796,phonograph_record,office_stationary
797,piano,musical_instrument
798,pickle,food
799,pickup_truck,other
800,pie,food
801,pigeon,animal
802,piggy_bank,furnishing
803,pillow,furnishing
804,pin_(non_jewelry),other
805,pineapple,food
806,pinecone,plant
807,ping-pong_ball,sports_equipment
808,pinwheel,other
809,tobacco_pipe,other
810,pipe,home_appliance_tool
811,pistol,other
812,pita_(bread),food
813,pitcher_(vessel_for_liquid),drinkware
814,pitchfork,home_appliance_tool
815,pizza,food
816,place_mat,tableware
817,plate,tableware
818,platter,tableware
819,playpen,other
820,pliers,home_appliance_tool
821,plow_(farm_equipment),home_appliance_tool
822,plume,office_stationary
823,pocket_watch,office_stationary
824,pocketknife,home_appliance_tool
825,poker_(fire_stirring_tool),home_appliance_tool
826,pole,other
827,polo_shirt,clothing
828,poncho,clothing
829,pony,animal
830,pool_table,furniture
831,pop_(soda),food
832,postbox_(public),other
833,postcard,office_stationary
834,poster,office_stationary
835,pot,kitchen_utensils
836,flowerpot,plant
837,potato,food
838,potholder,furniture
839,pottery,furniture
840,pouch,bag
841,power_shovel,home_appliance_tool
842,prawn,animal
843,pretzel,food
844,printer,electronics
845,projectile_(weapon),other
846,projector,electronics
847,propeller,other
848,prune,food
849,pudding,food
850,puffer_(fish),animal
851,puffin,animal
852,pug-dog,animal
853,pumpkin,food
854,puncher,office_stationary
855,puppet,other
856,puppy,animal
857,quesadilla,food
858,quiche,food
859,quilt,furnishing
860,rabbit,animal
861,race_car,other
862,racket,sports_equipment
863,radar,electronics
864,radiator,home_appliance_tool
865,radio_receiver,electronics
866,radish,food
867,raft,other
868,rag_doll,other
869,raincoat,clothing
870,ram_(animal),animal
871,raspberry,food
872,rat,animal
873,razorblade,toiletries
874,reamer_(juicer),kitchen_appliance
875,rearview_mirror,other
876,receipt,other
877,recliner,furniture
878,record_player,furnishing
879,reflector,other
880,remote_control,electronics
881,rhinoceros,animal
882,rib_(food),food
883,rifle,other
884,ring,clothing_accessory
885,river_boat,other
886,road_map,other
887,robe,clothing
888,rocking_chair,furniture
889,rodent,animal
890,roller_skate,sports_equipment
891,Rollerblade,sports_equipment
892,rolling_pin,kitchen_utensils
893,root_beer,food
894,router_(computer_equipment),electronics
895,rubber_band,office_stationary
896,runner_(carpet),furnishing
897,plastic_bag,bag
898,saddle_(on_an_animal),other
899,saddle_blanket,other
900,saddlebag,other
901,safety_pin,other
902,sail,other
903,salad,food
904,salad_plate,tableware
905,salami,food
906,salmon_(fish),animal
907,salmon_(food),food
908,salsa,food
909,saltshaker,food
910,sandal_(type_of_shoe),footwear
911,sandwich,food
912,satchel,bag
913,saucepan,kitchen_utensils
914,saucer,kitchen_utensils
915,sausage,food
916,sawhorse,home_appliance_tool
917,saxophone,musical_instrument
918,scale_(measuring_instrument),home_appliance_tool
919,scarecrow,other
920,scarf,clothing_accessory
921,school_bus,other
922,scissors,office_stationary
923,scoreboard,sports_equipment
924,scraper,home_appliance_tool
925,screwdriver,home_appliance_tool
926,scrubbing_brush,cleaning_product
927,sculpture,other
928,seabird,animal
929,seahorse,animal
930,seaplane,other
931,seashell,animal
932,sewing_machine,home_appliance_tool
933,shaker,kitchen_utensils
934,shampoo,toiletries
935,shark,animal
936,sharpener,office_stationary
937,Sharpie,office_stationary
938,shaver_(electric),toiletries
939,shaving_cream,toiletries
940,shawl,clothing_accessory
941,shears,home_appliance_tool
942,sheep,animal
943,shepherd_dog,animal
944,sherbert,food
945,shield,other
946,shirt,clothing
947,shoe,footwear
948,shopping_bag,bag
949,shopping_cart,other
950,short_pants,clothing
951,shot_glass,drinkware
952,shoulder_bag,bag
953,shovel,home_appliance_tool
954,shower_head,bathroom_fixture
955,shower_cap,hat
956,shower_curtain,bathroom_fixture
957,shredder_(for_paper),home_appliance_tool
958,signboard,other
959,silo,other
960,sink,sink
961,skateboard,sports_equipment
962,skewer,kitchen_utensils
963,ski,sports_equipment
964,ski_boot,sports_equipment
965,ski_parka,sports_equipment
966,ski_pole,sports_equipment
967,skirt,clothing
968,skullcap,hat
969,sled,sports_equipment
970,sleeping_bag,other
971,sling_(bandage),toiletries
972,slipper_(footwear),footwear
973,smoothie,food
974,snake,animal
975,snowboard,sports_equipment
976,snowman,other
977,snowmobile,sports_equipment
978,soap,toiletries
979,soccer_ball,sports_equipment
980,sock,clothing
981,sofa,furniture
982,softball,sports_equipment
983,solar_array,other
984,sombrero,hat
985,soup,food
986,soup_bowl,tableware
987,soupspoon,tableware
988,sour_cream,food
989,soya_milk,food
990,space_shuttle,other
991,sparkler_(fireworks),other
992,spatula,kitchen_utensils
993,spear,other
994,spectacles,clothing_accessory
995,spice_rack,furniture
996,spider,animal
997,crawfish,animal
998,sponge,cleaning_product
999,spoon,tableware
1000,sportswear,sports_equipment
1001,spotlight,furnishing
1002,squid_(food),food
1003,squirrel,animal
1004,stagecoach,other
1005,stapler_(stapling_machine),office_stationary
1006,starfish,animal
1007,statue_(sculpture),other
1008,steak_(food),food
1009,steak_knife,tableware
1010,steering_wheel,other
1011,stepladder,home_appliance_tool
1012,step_stool,home_appliance_tool
1013,stereo_(sound_system),electronics
1014,stew,food
1015,stirrer,kitchen_appliance
1016,stirrup,other
1017,stool,home_appliance_tool
1018,stop_sign,other
1019,brake_light,other
1020,stove,kitchen_appliance
1021,strainer,kitchen_utensils
1022,strap,home_appliance_tool
1023,straw_(for_drinking),drinkware
1024,strawberry,food
1025,street_sign,other
1026,streetlight,other
1027,string_cheese,food
1028,stylus,electronics
1029,subwoofer,electronics
1030,sugar_bowl,food
1031,sugarcane_(plant),plant
1032,suit_(clothing),clothing
1033,sunflower,plant
1034,sunglasses,clothing_accessory
1035,sunhat,hat
1036,surfboard,sports_equipment
1037,sushi,food
1038,mop,cleaning_product
1039,sweat_pants,clothing
1040,sweatband,sports_equipment
1041,sweater,clothing
1042,sweatshirt,clothing
1043,sweet_potato,food
1044,swimsuit,sports_equipment
1045,sword,other
1046,syringe,other
1047,Tabasco_sauce,food
1048,table-tennis_table,furniture
1049,table,furniture
1050,table_lamp,furnishing
1051,tablecloth,furnishing
1052,tachometer,other
1053,taco,food
1054,tag,other
1055,taillight,other
1056,tambourine,musical_instrument
1057,army_tank,other
1058,tank_(storage_vessel),other
1059,tank_top_(clothing),clothing
1060,tape_(sticky_cloth_or_paper),office_stationary
1061,tape_measure,home_appliance_tool
1062,tapestry,furnishing
1063,tarp,furnishing
1064,tartan,clothing
1065,tassel,clothing_accessory
1066,tea_bag,food
1067,teacup,drinkware
1068,teakettle,kitchen_appliance
1069,teapot,kitchen_appliance
1070,teddy_bear,other
1071,telephone,phone_tablet
1072,telephone_booth,other
1073,telephone_pole,other
1074,telephoto_lens,electronics
1075,television_camera,electronics
1076,television_set,tv_computer
1077,tennis_ball,sports_equipment
1078,tennis_racket,sports_equipment
1079,tequila,food
1080,thermometer,kitchen_appliance
1081,thermos_bottle,drinkware
1082,thermostat,house_fixtures
1083,thimble,home_appliance_tool
1084,thread,other
1085,thumbtack,office_stationary
1086,tiara,hat
1087,tiger,animal
1088,tights_(clothing),clothing
1089,timer,kitchen_appliance
1090,tinfoil,kitchen_utensils
1091,tinsel,furnishing
1092,tissue_paper,cleaning_product
1093,toast_(food),food
1094,toaster,kitchen_appliance
1095,toaster_oven,kitchen_appliance
1096,toilet,bathroom_fixture
1097,toilet_tissue,cleaning_product
1098,tomato,food
1099,tongs,kitchen_utensils
1100,toolbox,home_appliance_tool
1101,toothbrush,toiletries
1102,toothpaste,toiletries
1103,toothpick,toiletries
1104,cover,bag
1105,tortilla,food
1106,tow_truck,other
1107,towel,cleaning_product
1108,towel_rack,house_fixtures
1109,toy,other
1110,tractor_(farm_equipment),other
1111,traffic_light,other
1112,dirt_bike,other
1113,trailer_truck,other
1114,train_(railroad_vehicle),other
1115,trampoline,sports_equipment
1116,tray,tableware
1117,trench_coat,clothing
1118,triangle_(musical_instrument),musical_instrument
1119,tricycle,other
1120,tripod,electronics
1121,trousers,clothing
1122,truck,other
1123,truffle_(chocolate),food
1124,trunk,other
1125,vat,kitchen_utensils
1126,turban,hat
1127,turkey_(food),food
1128,turnip,food
1129,turtle,animal
1130,turtleneck_(clothing),clothing
1131,typewriter,office_stationary
1132,umbrella,other
1133,underwear,clothing
1134,unicycle,other
1135,urinal,bathroom_fixture
1136,urn,furnishing
1137,vacuum_cleaner,home_appliance_tool
1138,vase,furnishing
1139,vending_machine,home_appliance_tool
1140,vent,home_appliance_tool
1141,vest,clothing
1142,videotape,electronics
1143,vinegar,food
1144,violin,musical_instrument
1145,vodka,food
1146,volleyball,sports_equipment
1147,vulture,animal
1148,waffle,food
1149,waffle_iron,kitchen_appliance
1150,wagon,other
1151,wagon_wheel,other
1152,walking_stick,wheelchair_walker
1153,wall_clock,furnishing
1154,wall_socket,house_fixtures
1155,wallet,clothing_accessory
1156,walrus,animal
1157,wardrobe,furniture
1158,washbasin,sink
1159,automatic_washer,kitchen_appliance
1160,watch,clothing_accessory
1161,water_bottle,drinkware
1162,water_cooler,kitchen_appliance
1163,water_faucet,house_fixtures
1164,water_heater,kitchen_appliance
1165,water_jug,drinkware
1166,water_gun,other
1167,water_scooter,other
1168,water_ski,other
1169,water_tower,kitchen_appliance
1170,watering_can,home_appliance_tool
1171,watermelon,food
1172,weathervane,other
1173,webcam,electronics
1174,wedding_cake,food
1175,wedding_ring,clothing_accessory
1176,wet_suit,sports_equipment
1177,wheel,other
1178,wheelchair,wheelchair_walker
